sam,lane,ct,conc
AP1,4,15.0139,0.00625
AR2,4,15.5891,0.00625
AS1,4,15.5159,0.00625
AT2,4,16.1214,0.00625
CT1,4,15.6813,0.00625
CZ1,4,17.1252,0.00625
M31,5,11.2915,0.00625
M53,5,10.4516,0.00625
O156,5,10.7961,0.00625
O164,5,10.2649,0.00625
O172,5,10.419,0.00625
X84,5,10.448,0.00625
X36,5,10.3063,0.00625
X45,5,9.60709,0.00625
X214,5,9.09348,0.00625
X222,5,10.6443,0.00625
X230,5,11.0022,0.00625
M15,5,10.6187,0.00625
O157,5,11.3104,0.00625
1CCA,5,13.5945,0.00625
1CVA,5,12.8153,0.00625
1CCH,5,14.0901,0.00625
1CVH,5,11.7931,0.00625
1DCA,5,14.278,0.00625
1DVA,5,17.1296,0.00625
1DCH,5,17.6184,0.00625
1DVH,5,13.0804,0.00625
2ACA,5,14.117,0.00625
2AVA,5,19.0789,0.00625
X215,6,12.3462,0.00625
X223,6,9.83333,0.00625
O173,6,10.7953,0.00625
M16,6,10.4979,0.00625
M17,6,10.0168,0.00625
X24,6,10.0325,0.00625
O158,6,10.0544,0.00625
O166,6,10.882,0.00625
X30,6,9.59873,0.00625
M32,6,12.0779,0.00625
M55,6,9.42775,0.00625
O153,6,11.6036,0.00625
O165,6,12.1678,0.00625
2ACH,6,13.42,0.00625
2AVH,6,12.7151,0.00625
2CCA,6,13.4579,0.00625
2CVA,6,13.1546,0.00625
2CCH,6,11.3782,0.00625
2CVH,6,12.7338,0.00625
2DCA,6,14.2147,0.00625
2DVA,6,14.3676,0.00625
2DCH,6,12.993,0.00625
2DVH,6,13.7954,0.00625
KI,7,10.2847,0.00625
MI,7,11.9551,0.00625
OI,7,10.8609,0.00625
ORPm,7,14.1389,0.00625
S1,7,10.2509,0.00625
SDBm,7,11.2502,0.00625
X208,1,7.00146,0.0625
X216,1,8.03424,0.0625
M7,1,6.1137,0.0625
M37,1,5.82414,0.0625
O151,1,7.04425,0.0625
O159,1,7.03155,0.0625
O167,1,6.80314,0.0625
X23,1,6.49644,0.0625
X31,1,6.69991,0.0625
X39,1,7.38083,0.0625
X209,1,8.08379,0.0625
X217,1,7.35306,0.0625
M8,1,6.63853,0.0625
AP2,1,10.7412,0.0625
AV1,1,10.4612,0.0625
AW2,1,10.0555,0.0625
AX1,1,10.5877,0.0625
AZ2,1,11.0228,0.0625
CP2,1,11.0529,0.0625
CT2,1,13.3002,0.0625
CV1,1,11.2075,0.0625
CV2,1,11.0323,0.0625
CX1,1,11.6298,0.0625
M19,2,6.54694,0.0625
M38,2,6.17724,0.0625
O160,2,8.22496,0.0625
O168,2,6.64181,0.0625
X32,2,6.92349,0.0625
X210,2,6.82901,0.0625
X218,2,7.22611,0.0625
X226,2,5.92011,0.0625
M11,2,7.00127,0.0625
M25,2,8.9869,0.0625
M39,2,6.2274,0.0625
O161,2,6.13303,0.0625
AQ2,2,10.1744,0.0625
AR1,2,11.8429,0.0625
AS2,2,8.62644,0.0625
AV2,2,8.75332,0.0625
AY1,2,8.92877,0.0625
AZ1,2,9.21522,0.0625
CP1,2,10.0479,0.0625
CQ2,2,10.235,0.0625
CR2,2,10.4906,0.0625
CW1,2,11.0576,0.0625
O169,3,7.94601,0.0625
X25,3,8.21532,0.0625
X37,3,7.97055,0.0625
X42,3,8.35538,0.0625
X211,3,8.38883,0.0625
X219,3,5.71962,0.0625
X46,3,8.71849,0.0625
XM12,3,6.71663,0.0625
XM40,3,8.63598,0.0625
O154,3,7.41319,0.0625
O162,3,7.36682,0.0625
O179,3,7.58549,0.0625
X26,3,7.16852,0.0625
X29,3,8.4134,0.0625
X43,3,7.67664,0.0625
AT1,3,9.71333,0.0625
AW1,3,10.755,0.0625
AX2,3,11.1426,0.0625
CR1,3,12.5261,0.0625
CW2,3,11.7311,0.0625
CX2,3,11.7038,0.0625
X212,4,8.12543,0.0625
X220,4,6.8241,0.0625
O152,4,7.52202,0.0625
M13,4,7.23596,0.0625
M27,4,8.45951,0.0625
M52,4,5.68436,0.0625
O155,4,7.12973,0.0625
O163,4,6.62295,0.0625
O171,4,7.00855,0.0625
X27,4,5.94837,0.0625
X35,4,8.54829,0.0625
X44,4,8.18529,0.0625
X213,4,8.14761,0.0625
X221,4,6.94515,0.0625
M14,4,7.08459,0.0625
AP1,4,11.3062,0.0625
AR2,4,11.9647,0.0625
AS1,4,12.3703,0.0625
AT2,4,12.2555,0.0625
CT1,4,11.6947,0.0625
CZ1,4,12.6934,0.0625
M31,5,7.46693,0.0625
M53,5,6.92767,0.0625
O156,5,7.13315,0.0625
O164,5,6.3993,0.0625
O172,5,6.8974,0.0625
X84,5,6.74139,0.0625
X36,5,7.06405,0.0625
X45,5,6.31022,0.0625
X214,5,6.0986,0.0625
X222,5,7.20395,0.0625
X230,5,7.40013,0.0625
M15,5,6.80803,0.0625
O157,5,8.15986,0.0625
1CCA,5,10.817,0.0625
1CVA,5,9.44344,0.0625
1CCH,5,10.4002,0.0625
